高校,安全知识竞赛,国家安全,维护国家主权、统一和领土完整是（）的共同义务。,国家工作人员,港澳同胞和台湾同胞,国家安全机关工作人员,包括港澳同胞和台湾同胞在内的全中国人民,D
高校,安全知识竞赛,国家安全,《国家安全法》规定，机关、团体和其他组织应当对本单位的人员进行（）教育。,职业道德,维护国家安全,政治思想,职业技术,B
高校,安全知识竞赛,国家安全,网信、电信、公安、国家安全等主管部门发现某单位网站信息中含有恐怖主义、极端主义内容的信息，应当按照职责分工，及时对该单位采取一定措施，进行处理。以下措施不符合法律规定的是（）。,责令该单位停止传输信息,责令该单位删除相关信息,没收该单位所有互联网服务器，停止互联网接入服务,责令该单位关闭网站,C
高校,安全知识竞赛,国家安全,国家安全机关的工作人员依法执行国家安全工作任务时，经出示相应证件，有权（）中国公民或者境外人员的身份证明。,公开,查验,销毁,扣押,B
高校,安全知识竞赛,国家安全,任何公民和组织都应当保守所知悉的有关反间谍工作的（）。,国家秘密,个人隐私,个人秘密,商业秘密,A
高校,安全知识竞赛,国家安全,任何单位和个人都有（）、配合有关部门开展反恐怖主义工作的义务。,隐瞒,协助,抵抗,误导,B
高校,安全知识竞赛,国家安全,对被教唆、胁迫、引诱参与恐怖活动、极端主义活动，或者参与恐怖活动、极端主义活动情节轻微，尚不构成犯罪的人员，公安机关应当组织有关部门、村民委员会、居民委员会、所在单位、就读学校、家庭和监护人对其进行（）。,拘留,帮教,监管,监视居住,B
高校,安全知识竞赛,国家安全,在境外受胁迫或者受诱骗参加敌对组织、间谍组织，从事危害中华人民共和国国家安全的活动，入境后通过所在单位及时向国家安全机关、公安机关如实说明情况，并有悔改表现的，（）,处以十五日以下行政拘留,应当从重处罚,可以以钱代罚,可以不予追究,D
高校,安全知识竞赛,国家安全,对非法持有属于国家秘密的文件、资料和其他物品的，以及非法持有、使用专用间谍器材的，国家安全机关可以依法对其人身、物品、住处和其他有关的地方进行（）。,搜查,查封,没收,销毁,A
高校,安全知识竞赛,国家安全,公安机关调查恐怖活动嫌疑，经县级以上公安机关负责人批准，可以根据其危险程度，责令恐怖活动嫌疑人员遵守一定的约束措施。下面（）不属于法定约束措施。,未经公安机关批准不得离开所居住的市、县或者指定的处所,不得参加大型群众性活动或者从事特定的活动,未经公安机关批准不得乘坐公共交通工具或者进入特定的场所,未经公安机关批准，不得与其他人员会见或者通信,D
高校,安全知识竞赛,国家安全,中华人民共和国公民、一切国家机关和武装力量、各政党和各人民团体、企业事业组织和其他社会组织，都有维护（）的责任和义务。,文化安全,国家安全,经济安全,国土安全,B
高校,安全知识竞赛,国家安全,国家安全工作应当坚持总体国家安全观，以人民安全为（），以政治安全为（），以经济安全为（），以军事、文化、社会安全为（），以促进国际安全为依托，维护各领域国家安全，构建国家安全体系，走中国特色国家安全道路。,宗旨、基础、保障、根本,宗旨、根本、基础、保障,根本、基础、保障、宗旨,基础、保障、宗旨、根本,B
高校,安全知识竞赛,国家安全,中国的主权和领土完整不容侵犯和分割。维护国家主权、统一和领土完整是包括（）在内的全中国人民的共同义务。,重大,港澳同胞和海外侨胞,台湾同胞和海外侨胞,港澳同胞、台湾同胞和海外侨胞,D
高校,安全知识竞赛,国家安全,举办国际会议、涉外活动时，主办或承办单位（）向国家安全机关通报。,应当事前,应当事中,应当事后,可以事前或事后,A
高校,安全知识竞赛,国家安全,国家安全机关是（）的主管机关。,调查工作,情报工作,人民防空工作,反间谍工作,D
高校,安全知识竞赛,国家安全,公民和组织发现间谍行为，应当及时向国家安全机关报告；向（）等其他国家机关、组织报告的，相关国家机关、组织应当立即移送国家安全机关处理。,司法机关,公安机关,检察机关,人民法院,B
高校,安全知识竞赛,国家安全,国家安全机关开展国家安全专门工作，可以依法采取必要手段和方式，有关部门和地方应当在职责范围内（）。,主动协作,提供必要的帮助,提供人力支持,提供支持和配合,D
高校,安全知识竞赛,国家安全,国家安全机关在反间谍工作中必须依靠（）的支持，动员、组织人民防范、制止和惩治危害国家安全的间谍行为。,党员,群众,人民,团员,C
高校,安全知识竞赛,国家安全,国家建立国家安全工作督促检查和（），确保国家安全战略和重大部署贯彻落实。,责任目标,责任追究机制,岗位责任制,年度考评,B
高校,安全知识竞赛,国家安全,反间谍工作应当依法进行，尊重和保障（），保障公民和组织的合法权益。,人权,秘密,隐私,安全,A
高校,安全知识竞赛,国家安全,国家依法保护公民宗教信仰自由和正常宗教活动，坚持宗教独立自主自办的原则，防范、制止和依法惩治利用（）进行危害国家安全的违法犯罪活动。,信仰名义,民族问题,宗教事务,宗教名义,D
高校,安全知识竞赛,国家安全,公民和组织因支持、协助国家安全工作导致财产损失的，按照国家有关规定给予（）；造成人员伤害或者死亡的，按照国家有关规定给予（）。,补助 国家赔偿,补偿 抚恤优待,补助补偿 赔偿,奖励 表彰荣誉,B
高校,安全知识竞赛,国家安全,（）和组织支持、协助国家安全工作的行为受法律保护。,公民,群众,人民,党员,A
高校,安全知识竞赛,国家安全,任何个人和组织违反国家安全法和有关法律，（）或者从事危害国家安全活动的，依法追究法律责任。,滥用职权,不作为,不履行维护国家安全义务,玩忽职守,C
高校,安全知识竞赛,国家安全,对可能即将发生或者已经发生的危害国家安全的事件，（）以上地方人民政府及其有关主管部门应当立即按照规定向上一级人民政府及其有关主管部门报告，必要时可以（）上报。,省级、越级,县级、逐级,省级、逐级,县级、越级,D
高校,安全知识竞赛,国家安全,国家安全机关因侦察间谍行为的需要，根据国家有关规定，（），可以采取技术侦察措施。,经过严格的批准手续,出示有关证件,经有关部门同意,向上级部门备案,A
高校,安全知识竞赛,国家安全,根据《反间谍法》规定，国家安全机关的工作人员依法执行任务时，（），才可以进入限制进入的有关地区、场所、单位，查阅或者调取有关的档案、资料、物品。,出示相应证件,经过批准,经过有关机关备案,经过批准，出示相应证件,D
高校,安全知识竞赛,国家安全,任何个人和组织都不得非法持有、使用间谍活动特殊需要的（）。,专用间谍器材,加密通讯设备,窃听装置,无线电台,A
高校,安全知识竞赛,国家安全,国家安全机关工作人员依法执行任务时，依照规定出示相应证件，有权查验中国公民或者境外人员的（），向有关组织和人员调查、询问有关情况。,物品,资料,文件,身份证明,D
高校,安全知识竞赛,国家安全,国家安全机关的工作人员在依法执行（）的情况下，经出示证件，可以优先乘坐交通工具，遇到交通阻碍时，可以优先通行。,重要任务,紧急任务,特殊任务,秘密任务,B
高校,安全知识竞赛,国家安全,下列（）属于危害国家安全的行为。,揭露政府的过错，以非暴力言行要求政策的改变；,对国家，政府，官员的批评；,主动和人权组织通讯联系；,利用互联网，传播对社会和国家的负面言论，诋毁伟人形象，造成社会群众愤慨。,D
高校,安全知识竞赛,国家安全,我国的（）规定，如果公民发现危害国家安全法的行为，应当及时向国家安全机关报告。,宪法,刑法,保密法案,国家安全法,D
高校,安全知识竞赛,国家安全,坚持各民族一律平等，加强民族交往、交流、交融，防范、制止和依法惩治（）活动，维护国家统一、民族团结和社会和谐，实现各民族共同团结奋斗、共同繁荣发展。,民族分裂,暴力恐怖,打砸抢烧,偷扒拐骗,A
